# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	1.607084
0.100000	2.484994
0.150000	2.332881
0.200000	1.539498
0.250000	0.594380
0.300000	-0.013183
0.350000	-0.265287
0.400000	-0.242662
0.450000	-0.165867
0.500000	-0.120838
0.550000	-0.165867
0.600000	-0.242662
0.650000	-0.265287
0.700000	-0.013183
0.750000	0.594380
0.800000	1.539498
0.850000	2.332881
0.900000	2.484994
0.950000	1.607084
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	0.604679
0.100000	1.057646
0.150000	1.261893
0.200000	1.204616
0.250000	0.948663
0.300000	0.597336
0.350000	0.250543
0.400000	-0.022805
0.450000	-0.191343
0.500000	-0.247422
0.550000	-0.191343
0.600000	-0.022805
0.650000	0.250543
0.700000	0.597336
0.750000	0.948663
0.800000	1.204616
0.850000	1.261893
0.900000	1.057646
0.950000	0.604679
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	0.330079
0.100000	0.600965
0.150000	0.768258
0.200000	0.812580
0.250000	0.742450
0.300000	0.589782
0.350000	0.400321
0.400000	0.222481
0.450000	0.097531
0.500000	0.052725
0.550000	0.097531
0.600000	0.222481
0.650000	0.400321
0.700000	0.589782
0.750000	0.742450
0.800000	0.812580
0.850000	0.768258
0.900000	0.600965
0.950000	0.330079
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	0.206749
0.100000	0.384621
0.150000	0.510858
0.200000	0.573479
0.250000	0.573418
0.300000	0.523735
0.350000	0.446232
0.400000	0.366333
0.450000	0.307427
0.500000	0.285843
0.550000	0.307427
0.600000	0.366333
0.650000	0.446232
0.700000	0.523735
0.750000	0.573418
0.800000	0.573479
0.850000	0.510858
0.900000	0.384621
0.950000	0.206749
1.000000	0.000000


