# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	-2.268097
0.100000	-2.923314
0.150000	-1.913181
0.200000	-0.337468
0.250000	0.798137
0.300000	1.190881
0.350000	1.062908
0.400000	0.757973
0.450000	0.510179
0.500000	0.419849
0.550000	0.510179
0.600000	0.757973
0.650000	1.062908
0.700000	1.190881
0.750000	0.798137
0.800000	-0.337468
0.850000	-1.913181
0.900000	-2.923314
0.950000	-2.268097
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	-0.828590
0.100000	-1.363591
0.150000	-1.448763
0.200000	-1.118294
0.250000	-0.545677
0.300000	0.062404
0.350000	0.557086
0.400000	0.881569
0.450000	1.050123
0.500000	1.100293
0.550000	1.050123
0.600000	0.881569
0.650000	0.557086
0.700000	0.062404
0.750000	-0.545677
0.800000	-1.118294
0.850000	-1.448763
0.900000	-1.363591
0.950000	-0.828590
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	-0.437182
0.100000	-0.763933
0.150000	-0.902986
0.200000	-0.830575
0.250000	-0.577502
0.300000	-0.213400
0.350000	0.176856
0.400000	0.514617
0.450000	0.740681
0.500000	0.819863
0.550000	0.740681
0.600000	0.514617
0.650000	0.176856
0.700000	-0.213400
0.750000	-0.577502
0.800000	-0.830575
0.850000	-0.902986
0.900000	-0.763933
0.950000	-0.437182
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	-0.255205
0.100000	-0.456213
0.150000	-0.561787
0.200000	-0.553058
0.250000	-0.437040
0.300000	-0.243790
0.350000	-0.018581
0.400000	0.188518
0.450000	0.333082
0.500000	0.384839
0.550000	0.333082
0.600000	0.188518
0.650000	-0.018581
0.700000	-0.243790
0.750000	-0.437040
0.800000	-0.553058
0.850000	-0.561787
0.900000	-0.456213
0.950000	-0.255205
1.000000	0.000000


