# dx 0.100000
# dy 0.100000
# imax 61
# jmax 41
# x psi
0.000000 0.000000
0.100000 1.821227
0.200000 3.641578
0.300000 5.459979
0.400000 7.274977
0.500000 9.084584
0.600000 10.886166
0.700000 12.676383
0.800000 14.451183
0.900000 16.205870
1.000000 17.935220
1.100000 19.633656
1.200000 21.295450
1.300000 22.914951
1.400000 24.486799
1.500000 26.006128
1.600000 27.468717
1.700000 28.871111
1.800000 30.210677
1.900000 31.485626
2.000000 32.694984
2.100000 33.838539
2.200000 34.916759
2.300000 35.930702
2.400000 36.881918
2.500000 37.772349
2.600000 38.604241
2.700000 39.380059
2.800000 40.102415
2.900000 40.774000
3.000000 41.397539
3.100000 41.975741
3.200000 42.511271
3.300000 43.006719
3.400000 43.464584
3.500000 43.887255
3.600000 44.277009
3.700000 44.635999
3.800000 44.966251
3.900000 45.269669
4.000000 45.548031
4.100000 45.802994
4.200000 46.036094
4.300000 46.248755
4.400000 46.442291
4.500000 46.617909
4.600000 46.776716
4.700000 46.919723
4.800000 47.047849
4.900000 47.161924
5.000000 47.262697
5.100000 47.350835
5.200000 47.426931
5.300000 47.491501
5.400000 47.544995
5.500000 47.587790
5.600000 47.620202
5.700000 47.642478
5.800000 47.654806
5.900000 47.657309
6.000000 47.657309
