# iter max_error
1 6.750000e+01
2 1.537984e+01
3 8.756218e+00
4 6.236587e+00
5 4.846609e+00
6 3.970278e+00
7 3.380889e+00
8 2.916765e+00
9 2.597461e+00
10 2.330416e+00
11 2.103357e+00
12 1.932316e+00
13 1.782640e+00
14 1.649791e+00
15 1.536954e+00
16 1.442133e+00
17 1.355436e+00
18 1.275945e+00
19 1.203290e+00
20 1.141459e+00
21 1.083449e+00
22 1.028929e+00
23 9.776039e-01
24 9.292076e-01
25 8.835053e-01
26 8.402884e-01
27 7.996775e-01
28 7.621391e-01
29 7.263159e-01
30 6.921259e-01
31 6.594924e-01
32 6.283436e-01
33 5.986119e-01
34 5.702336e-01
35 5.431486e-01
36 5.172996e-01
37 4.926325e-01
38 4.690957e-01
39 4.466398e-01
40 4.252180e-01
41 4.047851e-01
42 3.852982e-01
43 3.667160e-01
44 3.489988e-01
45 3.321089e-01
46 3.160098e-01
47 3.006666e-01
48 2.860458e-01
49 2.721153e-01
50 2.588441e-01
51 2.462027e-01
52 2.341627e-01
53 2.226968e-01
54 2.117790e-01
55 2.013843e-01
56 1.914886e-01
57 1.820690e-01
58 1.731036e-01
59 1.645711e-01
60 1.564516e-01
61 1.487256e-01
62 1.413749e-01
63 1.343816e-01
64 1.277290e-01
65 1.214010e-01
66 1.153821e-01
67 1.096577e-01
68 1.042137e-01
69 9.903675e-02
70 9.411400e-02
71 8.943325e-02
72 8.498287e-02
73 8.075174e-02
74 7.672926e-02
75 7.290533e-02
76 6.927033e-02
77 6.581506e-02
78 6.253079e-02
79 5.940918e-02
80 5.644229e-02
81 5.362255e-02
82 5.094276e-02
83 4.839606e-02
84 4.597592e-02
85 4.367611e-02
86 4.149073e-02
87 3.941413e-02
88 3.744096e-02
89 3.556610e-02
90 3.378471e-02
91 3.209216e-02
92 3.048406e-02
93 2.895623e-02
94 2.750469e-02
95 2.612565e-02
96 2.481553e-02
97 2.357089e-02
98 2.238849e-02
99 2.126523e-02
100 2.019816e-02
101 1.918450e-02
102 1.822158e-02
103 1.730687e-02
104 1.643798e-02
105 1.561261e-02
106 1.482860e-02
107 1.408388e-02
108 1.337649e-02
109 1.270456e-02
110 1.206633e-02
111 1.146010e-02
112 1.088429e-02
113 1.033736e-02
114 9.817880e-03
