# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	-0.172644
0.100000	-0.132332
0.150000	0.133658
0.200000	0.448542
0.250000	0.625234
0.300000	0.607633
0.350000	0.464542
0.400000	0.299474
0.450000	0.182756
0.500000	0.142079
0.550000	0.182756
0.600000	0.299474
0.650000	0.464542
0.700000	0.607633
0.750000	0.625234
0.800000	0.448542
0.850000	0.133658
0.900000	-0.132332
0.950000	-0.172644
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	-0.080892
0.100000	-0.113863
0.150000	-0.074224
0.200000	0.029667
0.250000	0.164497
0.300000	0.291306
0.350000	0.383788
0.400000	0.436050
0.450000	0.457969
0.500000	0.463244
0.550000	0.457969
0.600000	0.436050
0.650000	0.383788
0.700000	0.291306
0.750000	0.164497
0.800000	0.029667
0.850000	-0.074224
0.900000	-0.113863
0.950000	-0.080892
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	-0.041980
0.100000	-0.063776
0.150000	-0.051415
0.200000	-0.001022
0.250000	0.080822
0.300000	0.179944
0.350000	0.279074
0.400000	0.362098
0.450000	0.416784
0.500000	0.435812
0.550000	0.416784
0.600000	0.362098
0.650000	0.279074
0.700000	0.179944
0.750000	0.080822
0.800000	-0.001022
0.850000	-0.051415
0.900000	-0.063776
0.950000	-0.041980
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	-0.017345
0.100000	-0.024080
0.150000	-0.012269
0.200000	0.021391
0.250000	0.074773
0.300000	0.140855
0.350000	0.209321
0.400000	0.268788
0.450000	0.309120
0.500000	0.323384
0.550000	0.309120
0.600000	0.268788
0.650000	0.209321
0.700000	0.140855
0.750000	0.074773
0.800000	0.021391
0.850000	-0.012269
0.900000	-0.024080
0.950000	-0.017345
1.000000	0.000000


