# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	95.938840
0.100000	47.941595
0.150000	23.599531
0.200000	11.420087
0.250000	5.355849
0.300000	2.350339
0.350000	0.872445
0.400000	0.160716
0.450000	-0.156258
0.500000	-0.245979
0.550000	-0.156258
0.600000	0.160716
0.650000	0.872445
0.700000	2.350339
0.750000	5.355849
0.800000	11.420087
0.850000	23.599531
0.900000	47.941595
0.950000	95.938840
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	55.265850
0.100000	4.101406
0.150000	-7.765870
0.200000	-6.453765
0.250000	-2.907802
0.300000	-0.504711
0.350000	0.507299
0.400000	0.720190
0.450000	0.663894
0.500000	0.618468
0.550000	0.663894
0.600000	0.720190
0.650000	0.507299
0.700000	-0.504711
0.750000	-2.907802
0.800000	-6.453765
0.850000	-7.765870
0.900000	4.101406
0.950000	55.265850
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	15.483756
0.100000	28.587638
0.150000	49.353197
0.200000	6.542253
0.250000	-7.261130
0.300000	-9.247590
0.350000	-7.367762
0.400000	-4.991579
0.450000	-3.347322
0.500000	-2.780234
0.550000	-3.347322
0.600000	-4.991579
0.650000	-7.367762
0.700000	-9.247590
0.750000	-7.261130
0.800000	6.542253
0.850000	49.353197
0.900000	28.587638
0.950000	15.483756
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	7.375579
0.100000	12.306127
0.150000	20.100680
0.200000	22.064266
0.250000	31.664524
0.300000	1.944977
0.350000	-8.460856
0.400000	-10.937304
0.450000	-10.882769
0.500000	-10.646989
0.550000	-10.882769
0.600000	-10.937304
0.650000	-8.460856
0.700000	1.944977
0.750000	31.664524
0.800000	22.064266
0.850000	20.100680
0.900000	12.306127
0.950000	7.375579
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	4.650336
0.100000	7.469378
0.150000	12.086836
0.200000	11.750851
0.250000	15.204889
0.300000	12.224121
0.350000	15.777500
0.400000	-5.141817
0.450000	-13.219540
0.500000	-15.264918
0.550000	-13.219540
0.600000	-5.141817
0.650000	15.777500
0.700000	12.224121
0.750000	15.204889
0.800000	11.750851
0.850000	12.086836
0.900000	7.469378
0.950000	4.650336
1.000000	0.000000


