# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	-11.399354
0.100000	-12.561748
0.150000	-7.758908
0.200000	-2.273957
0.250000	1.283235
0.300000	2.665025
0.350000	2.672000
0.400000	2.168751
0.450000	1.705556
0.500000	1.529923
0.550000	1.705556
0.600000	2.168751
0.650000	2.672000
0.700000	2.665025
0.750000	1.283235
0.800000	-2.273957
0.850000	-7.758908
0.900000	-12.561748
0.950000	-11.399354
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	-4.117522
0.100000	-6.493548
0.150000	-6.609627
0.200000	-5.023900
0.250000	-2.700761
0.300000	-0.461443
0.350000	1.247796
0.400000	2.329534
0.450000	2.884883
0.500000	3.050432
0.550000	2.884883
0.600000	2.329534
0.650000	1.247796
0.700000	-0.461443
0.750000	-2.700761
0.800000	-5.023900
0.850000	-6.609627
0.900000	-6.493548
0.950000	-4.117522
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	-2.132691
0.100000	-3.690217
0.150000	-4.326007
0.200000	-4.009974
0.250000	-2.968556
0.300000	-1.552323
0.350000	-0.110328
0.400000	1.085524
0.450000	1.861660
0.500000	2.129154
0.550000	1.861660
0.600000	1.085524
0.650000	-0.110328
0.700000	-1.552323
0.750000	-2.968556
0.800000	-4.009974
0.850000	-4.326007
0.900000	-3.690217
0.950000	-2.132691
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	-1.278060
0.100000	-2.292560
0.150000	-2.853984
0.200000	-2.892450
0.250000	-2.462599
0.300000	-1.714235
0.350000	-0.845663
0.400000	-0.056705
0.450000	0.487898
0.500000	0.681643
0.550000	0.487898
0.600000	-0.056705
0.650000	-0.845663
0.700000	-1.714235
0.750000	-2.462599
0.800000	-2.892450
0.850000	-2.853984
0.900000	-2.292560
0.950000	-1.278060
1.000000	0.000000


