# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	-8.078342
0.100000	8.496298
0.150000	2.045264
0.200000	-0.996288
0.250000	-0.872620
0.300000	-0.105469
0.350000	0.321426
0.400000	0.398302
0.450000	0.343981
0.500000	0.310242
0.550000	0.343981
0.600000	0.398302
0.650000	0.321426
0.700000	-0.105469
0.750000	-0.872620
0.800000	-0.996288
0.850000	2.045264
0.900000	8.496298
0.950000	-8.078342
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	-1.689235
0.100000	2.331486
0.150000	-0.119955
0.200000	0.193563
0.250000	0.411781
0.300000	0.276071
0.350000	0.164460
0.400000	0.187675
0.450000	0.265181
0.500000	0.302826
0.550000	0.265181
0.600000	0.187675
0.650000	0.164460
0.700000	0.276071
0.750000	0.411781
0.800000	0.193563
0.850000	-0.119955
0.900000	2.331486
0.950000	-1.689235
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	-0.383200
0.100000	0.710527
0.150000	-0.069427
0.200000	0.264029
0.250000	0.282915
0.300000	0.231737
0.350000	0.222974
0.400000	0.228811
0.450000	0.230251
0.500000	0.229614
0.550000	0.230251
0.600000	0.228811
0.650000	0.222974
0.700000	0.231737
0.750000	0.282915
0.800000	0.264029
0.850000	-0.069427
0.900000	0.710527
0.950000	-0.383200
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	-0.077355
0.100000	0.252540
0.150000	0.024239
0.200000	0.189211
0.250000	0.182038
0.300000	0.184608
0.350000	0.197454
0.400000	0.203038
0.450000	0.203753
0.500000	0.203667
0.550000	0.203753
0.600000	0.203038
0.650000	0.197454
0.700000	0.184608
0.750000	0.182038
0.800000	0.189211
0.850000	0.024239
0.900000	0.252540
0.950000	-0.077355
1.000000	0.000000


