# t = 0.00 hr
# x	err
0.000000	0.000000
0.050000	-4.061446
0.100000	-2.059121
0.150000	-1.401971
0.200000	-1.082953
0.250000	-0.900249
0.300000	-0.786865
0.350000	-0.714468
0.400000	-0.669361
0.450000	-0.644538
0.500000	-0.636604
0.550000	-0.644538
0.600000	-0.669361
0.650000	-0.714468
0.700000	-0.786865
0.750000	-0.900249
0.800000	-1.082953
0.850000	-1.401971
0.900000	-2.059121
0.950000	-4.061446
1.000000	0.000000


# t = 0.10 hr
# x	err
0.000000	0.000000
0.050000	-944.734722
0.100000	704.099976
0.150000	-57.768874
0.200000	-31.459844
0.250000	-15.419997
0.300000	-6.779119
0.350000	-2.666526
0.400000	-0.939965
0.450000	-0.312668
0.500000	-0.162781
0.550000	-0.312668
0.600000	-0.939965
0.650000	-2.666526
0.700000	-6.779119
0.750000	-15.419997
0.800000	-31.459844
0.850000	-57.768874
0.900000	704.099976
0.950000	-944.734722
1.000000	0.000000


# t = 0.20 hr
# x	err
0.000000	0.000000
0.050000	-20960.517846
0.100000	23876.583633
0.150000	-12890.655215
0.200000	3136.525230
0.250000	-42.295276
0.300000	-26.815932
0.350000	-16.254473
0.400000	-9.640012
0.450000	-6.081694
0.500000	-4.967732
0.550000	-6.081694
0.600000	-9.640012
0.650000	-16.254473
0.700000	-26.815932
0.750000	-42.295276
0.800000	3136.525230
0.850000	-12890.655215
0.900000	23876.583633
0.950000	-20960.517846
1.000000	0.000000


# t = 0.30 hr
# x	err
0.000000	0.000000
0.050000	-610567.668702
0.100000	824663.335427
0.150000	-627308.161790
0.200000	303916.938790
0.250000	-89661.926696
0.300000	12755.012405
0.350000	-32.201068
0.400000	-23.355260
0.450000	-18.187450
0.500000	-16.490733
0.550000	-18.187450
0.600000	-23.355260
0.650000	-32.201068
0.700000	12755.012405
0.750000	-89661.926696
0.800000	303916.938790
0.850000	-627308.161790
0.900000	824663.335427
0.950000	-610567.668702
1.000000	0.000000


# t = 0.40 hr
# x	err
0.000000	0.000000
0.050000	-20342572.052272
0.100000	30089454.992859
0.150000	-27008119.697853
0.200000	17119903.168847
0.250000	-7833676.951833
0.300000	2508739.566322
0.350000	-512047.495877
0.400000	51161.761340
0.450000	-32.688272
0.500000	-30.839903
0.550000	-32.688272
0.600000	51161.761340
0.650000	-512047.495877
0.700000	2508739.566322
0.750000	-7833676.951833
0.800000	17119903.168847
0.850000	-27008119.697853
0.900000	30089454.992859
0.950000	-20342572.052272
1.000000	0.000000


